Mot;Occurrence;Mot_nettoye;Cluster
maladie;73;maladie;0
os;931;os;0
verre;106;verre;0
supposé;44;supposer;0
nécessairement;12;nécessairement;0
couché;78;coucher;0
rappelle;43;rappell;0
pourrai;30;pouvoir;0
entendre;63;entendre;0
voix;63;voix;0
aurai;64;avoir;0
pu;442;;0
prévenir;23;prévenir;0
pendant;349;;0
faisiez;25;faire;0
amour;174;amour;0
faisions;3;faision;0
honte;24;hont;0
humains;84;humain;0
agissent;7;agir;0
selon;106;;0
hiérarchie;12;hiérarchie;0
besoins;18;besoin;0
occupe;64;occuper;0
rangs;7;rang;0
élevés;12;élevé;0
inévitabilité;2;inévitabilité;0
anthropologique;24;anthropologique;0
apprécie;51;apprécie;0
résumiez;2;résumer;0
inévitabilités;2;inévitabiliter;0
anthropologiques;6;anthropologique;0
voulez;612;vouloir;0
web;12;web;0
listé;4;lister;0
peur;245;peur;0
chérie;128;chéri;0
base;91;base;0
données;93;donnée;0
officielle;15;officiel;0
dépisté;2;dépister;0
huit;51;;0
zone;83;zone;0
combien;228;;0
entre;438;;0
eux;196;;0
hommes;158;homme;0
adultes;19;adulte;0
donnez;76;donner;0
seconde;114;second;0
généralement;17;généralement;0
tape;18;tape;0
aucun;285;aucun;0
parle;181;;0
parler;547;;0
accodak;2;accodak;0
nombre;61;nombre;0
métropolitaine;2;métropolitain;0
zéro;22;zéro;0
idem;2;idem;0
femmes;151;femme;0
enfants;189;enfant;0
taux;37;taux;0
mortalité;4;mortalité;0
élevé;31;élevé;0
o;35;;0
i;4887;;0
fatale;10;fatal;0
principalement;8;principalement;0
ostéogénèse;2;ostéogénèse;0
graves;35;grave;0
bénin;3;bénin;0
proche;55;;0
stature;9;stature;0
normale;40;normal;0
articulations;14;articulation;0
fragiles;17;fragile;0
sclère;2;sclèr;0
grisâtre;2;grisâtre;0
héréditaire;7;héréditaire;0
bénins;2;bénin;0
peuvent;136;;0
formes;13;forme;0
souvent;110;;0
résultat;68;résultat;0
mutation;5;mutation;0
génétique;17;génétique;0
bonhomme;8;bonhomme;0
gosses;33;gosse;0
eue;18;avoir;0
leurs;238;;0
parents;142;parent;0
devons;100;devon;0
contacter;14;contacter;0
familles;24;famille;0
trouver;363;trouver;0
auquel;17;;0
père;858;père;0
laissez;185;laisser;0
imprimer;3;imprimer;0
liste;105;liste;0
imprimez;8;imprimer;0
partagera;4;partager;0
mme;119;mm;0
seaver;28;seaver;0
institut;48;institut;0
jeffersonian;168;jeffersonian;0
travaillant;19;travailler;0
collaboration;4;collaboration;0
fbi;657;fbi;0
rapport;147;rapport;0
larry;123;larry;0
agit;97;agir;0
mari;270;mari;0
lawrence;13;lawrence;0
raymond;9;raymond;0
répond;12;répondre;0
